"scientific_name","species","iucn_category","individuals","superclass","taxon_id","synonym","tol_id","genus","family","order","class","zoonomia","taxon_rank","genome","cell_lines","nspecies","assembly_level","genome_size","illumina","silencer"
"Agapornis nigrigenis","Agapornis nigrigenis","VULNERABLE",4,"Birds",NA,"Agapornis nigrigenis",NA,"Agapornis","Psittacidae","Psittaciformes","Aves",FALSE,NA,FALSE,2,13,"No Genome",NA,FALSE,FALSE
"Eos reticulata","Eos reticulata","NEAR THREATENED",1,"Birds","1549147","Eos reticulata","bEosSem","Eos","Psittaculidae","Psittaciformes","Aves",FALSE,"species",TRUE,1,13,"Scaffold",1300740000,TRUE,FALSE
"Procavia capensis","Procavia capensis","LEAST CONCERN",2,"Mammalia","9813","Hyrax capensis","mProCap","Procavia","Procaviidae","Hyracoidea","Mammalia",TRUE,NA,TRUE,2,1,"Scaffold",3970679999,TRUE,TRUE
"Myrmecophaga tridactyla","Myrmecophaga tridactyla","VULNERABLE",2,"Mammalia","71006","Tamandua tridactyla","mMyrTri","Myrmecophaga","Myrmecophagidae","Pilosa","Mammalia",TRUE,NA,TRUE,0,1,"Scaffold",4224960000,TRUE,TRUE
"Oryctolagus cuniculus","Oryctolagus cuniculus","ENDANGERED",2,"Mammalia","9986","New Zealand rabbit","mOryCun","Oryctolagus","Leporidae","Lagomorpha","Mammalia",TRUE,NA,TRUE,1,1,"Chromosome",3188280000,TRUE,TRUE
"Loxodonta africana","Loxodonta africana","ENDANGERED",1,"Mammalia","9785","Elephas africanus cavendishi","mLoxAfr","Loxodonta","Elephantidae","Proboscidea","Mammalia",TRUE,NA,TRUE,1,2,"Scaffold",4342320000,TRUE,TRUE
"Elephas maximus","Elephas maximus","ENDANGERED",4,"Mammalia","9783","Elephas asiaticus","mEleMax","Elephas","Elephantidae","Proboscidea","Mammalia",TRUE,NA,TRUE,4,2,"Scaffold",3941340000,TRUE,TRUE
"Petrogale xanthopus","Petrogale xanthopus","NEAR THREATENED",1,"Mammalia",NA,"Petrogale xanthopus",NA,"Petrogale","Macropodidae","Diprotodontia","Mammalia",FALSE,NA,FALSE,1,3,"No Genome",NA,FALSE,FALSE
"Osphranter rufus","Osphranter rufus","LEAST CONCERN",3,"Mammalia",NA,"Osphranter rufus",NA,"Osphranter","Macropodidae","Diprotodontia","Mammalia",FALSE,NA,FALSE,3,3,"No Genome",NA,FALSE,FALSE
"Ceratotherium simum","Ceratotherium simum","NEAR THREATENED",3,"Mammalia","9807","Rhinoceros burchellii","mCerSim","Ceratotherium","Rhinocerotidae","Perissodactyla","Mammalia",TRUE,NA,TRUE,2,4,"Chromosome",3266520000,TRUE,TRUE
"Equus caballus","Equus caballus","ENDANGERED",2,"Mammalia","9796","Hippidium neogaeum","mEquCab","Equus","Equidae","Perissodactyla","Mammalia",TRUE,NA,TRUE,2,4,"Chromosome",3110040000,TRUE,TRUE
"Equus quagga","Equus quagga","NEAR THREATENED",3,"Mammalia","89248","Equus burchellii quagga",NA,"Equus","Equidae","Perissodactyla","Mammalia",TRUE,NA,TRUE,2,4,"Chromosome",3481680000,TRUE,TRUE
"Hydrochoerus hydrochaeris","Hydrochoerus hydrochaeris","LEAST CONCERN",1,"Mammalia","10149","Hydrochaerus capybara","mHydHyd","Hydrochoerus","Hydrochaeridae","Rodentia","Mammalia",TRUE,NA,TRUE,1,6,"Scaffold",3663832500,TRUE,TRUE
"Dolichotis patagonum","Dolichotis patagonum","NEAR THREATENED",3,"Mammalia","29091","Dolichotis patagonum","mDolPat","Dolichotis","Caviidae","Rodentia","Mammalia",TRUE,NA,TRUE,2,6,"Scaffold",3618600000,TRUE,TRUE
"Hystrix cristata","Hystrix cristata","LEAST CONCERN",1,"Mammalia","10137","Hystrix cristata","mHysCri","Hystrix","Hystricidae","Rodentia","Mammalia",TRUE,NA,TRUE,2,6,"Scaffold",3663832500,TRUE,TRUE
"Lutra lutra","Lutra lutra","NEAR THREATENED",2,"Mammalia","9657","Lutra lutra","mLutLut","Lutra","Mustelidae","Carnivora","Mammalia",TRUE,NA,TRUE,1,18,"Chromosome",2880210000,TRUE,TRUE
"Panthera leo","Panthera leo","VULNERABLE",9,"Mammalia","9689","Felis imperialis","mPanLeo","Panthera","Felidae","Carnivora","Mammalia",TRUE,NA,TRUE,8,18,"Chromosome",2885100000,TRUE,TRUE
"Panthera onca","Panthera onca","NEAR THREATENED",4,"Mammalia","9690","Panthera augusta","mPanOnc","Panthera","Felidae","Carnivora","Mammalia",TRUE,NA,TRUE,4,18,"Chromosome",2767740000,TRUE,FALSE
"Canis lupus","Canis lupus","LEAST CONCERN",4,"Mammalia","9612","Canis petrolei","mCanLup","Canis","Canidae","Carnivora","Mammalia",TRUE,NA,TRUE,4,18,"Chromosome",2748180000,TRUE,FALSE
