cell_line_ID,date,animal_species,coming_from,species_360_local_id,body_part,process,medium,person,fibros,vials_n2,pellet,micoplasma_test,DNA,comment
A462,5/1/2023,Tigre Bengala,Zoo Madrid,QRD10-00370/MADRID Z / TBL6,Piel,"In culture, 3CT",DMEM : FBM,Silvia,si,2P0 2P1,Pellet PAra DNA and RNA,NA,NA,NA
A463,6/8/2023,Canis lupus signatus,Sendaviva,CGM20-00006/PARQNATUR / 121,skin,"in Culture, 2CT",DMEM: FBM,silvia,si,4 P0,Pellet PAra DNA and RNA,NA,NA,NA
A464,6/9/2023,Canis lupus signatus,Sendaviva,CGM20-00009/PARQNATUR / 124,skin,"in Culture, 2CT",DMEM: FBM,silvia,Si,4 P0,Pellet PAra DNA and RNA,NA,NA,NA
A466,6/19/2023,Geroticus eremita,Zoo Barcelona,QGH23-06354,traquea,"in Culture, 2CT",FMB on Mg 28.5 C,silvia,si,no success fibros were not growing after P0 split,pellet para DNA,NA,NA,NA
A467,6/20/2023,Hylobates lar,Elche Safari,HBY14-00185,skin,in culture,DMEM on gel,silvia,Si,2P0,pellet DNA,NA,NA,NA
A468,6/20/2023,Nanger dama mhorr,Elche Safari,ALM20-00023,skin,in culture,DMEM,silvia,si,2 P0,pellet para DNA AND RNA,NA,NA,NA
A469,6/27/2023,Procavia Capensis,Bioparc,-,skin,"in culture, 2 CT ( ha llegado en medio amarillo)",DMEM,silvia,si,2P0,pellet DNA,NA,NA,NA
A470,6/29/2023,Capra pyrenaica hispanica,Zoo Madrid,VCF19-03044/ADRID Z / CAH18,ear,"in Culture, 2CT",DMEM,silvia,si,2 P0 2P1,pellet RNA and DNA,NA,NA,NA
A471,6/4/2023,Muflon,Zoo Madrid,27917868/ MADRID Z / MUF30,skin,"in Culture, 2CT",DMEM,silvia,si,2 P0 2P1,pellet DNA AND RNA,NA,NA,NA
A472,7/11/2023,Canis lupus signatus,Sendaviva,CGM20-00008/: PARQNATUR / 123,skin,"in Culture, 2CT",DMEM,silvia,si,3 P0,pellet DNA AND RNA,NA,NA,NA
A474,7/26/2023,Muflon,Zoo Madrid,27917788/ MADRID Z / MUF45,skin,"in Culture, 2CT",DMEM,silvia,si,NA,NA,NA,NA,NA
A475,7/26/2023,Reno,Zoo Madrid,MIG12-29480614/: MADRID Z / RE89,skin,"in Culture, 2CT",DMEM,silvia,si,NA,NA,NA,NA,NA
A396,9/20/2022,Python breitensteini,Zoo Barcelona,15808636/Barcelona/7300,Traquea,"in culture, 1CT",37C alphamem complete + 100x ITS and  amioMax,Silvia,si (37) pasado a 28 grados hongos a 28,No success,NA,NA,NA,NA
A278,3/3/2022,Gorilla,Zoo barcelona,QGH15-02323,"Skin , nasal , bocal",In culture,alphamem complete on Gelatin 0.1%,SIra,si from skin  and nasal,"2 P0,2P1,2P2, 2P3 from skin, 2P0 from nasal",si,Negative,si,NA
A300,4/21/2022,Macaca sylvanus,Zoo Barcelona,MIG12-28734788/BARCELONA / 10699,"Skin , nasal , bocal",in culture,BEGM medium for bocal and nasal and alphamem coplete for skin on gelatin coating,silvia,si from skin and nasal,4P0 2P1  2P3 from skin,si,NA,NA,NA
A281,3/8/2022,Eclectus roratus,zoo madrid,WKP18-01463/ MADRID Z / ECL6,skin and traquea,"in culture, 1CT",FBM : alphamem complete,silvia,si from traquea,2 P0 2 P1,NA,NA,NA,"After P1, fibros grow very slowly"
A370,7/29/2022,Corucia zebrata,Zoo Barcelona,QGH20-05473,traquea,"in culture, 1CT",28C DMEM/F12 Complets. on matrigel 12/09,sira,si on matrigel and w/o matrigel 28 and 37 grados,no success,NA,Negative,NA,NA
A290,3/24/2022,Central chimpanzee,Zoo Barcelona,MIG12-30088855,"Skin , nasal , bocal",in culture,alphamem complete,Sira/ Silvia skin,"si, fibros from skin",2P0  2P1 2P2 from skin 4P3,NA,NA,NA,NA
