cell_line_ID,date,animal_species,coming_from,species_360_local_id,body_part,process,medium,person_in_charge,notes,vials_n2,pellet,micoplasma_test,dna_extr_technician,rna_extr_technician,karyotype
A31,8/3/2020,Guanaco,BCN ZOO,QGH20-05351-IA,Tissue (ear),Dissection and freeze,NA,Isa,NA,P1 (1 vial),Pellet for DNA,NA,done,NA,NA
A31,8/3/2020,Guanaco,BCN ZOO,QGH20-05351-IA,Tissue (ear),NA,NA,NA,NA,P2 (2vials),Pellet for RNA,NA,NA,NA,NA
A31,8/3/2020,Guanaco,BCN ZOO,QGH20-05351-IA,Tissue (ear),NA,NA,NA,NA,P3(2vials),NA,NA,NA,NA,NA
A32,8/13/2020,Panthera onca,Rio safari Elche,QGH20-05351-IA,Tissue (skin),"Dissection, in culture + freeze",NA,Isa,NA,P1 (3 vials),Pellet for DNA,NEGATIVE @P3,NA,NA,NA
A32,8/13/2020,Panthera onca,Rio safari Elche,QGH20-05351-IA,Tissue (skin),NA,NA,NA,NA,P2 (2 vials),NA,NA,NA,NA,NA
A32,8/13/2020,Panthera onca,Rio safari Elche,QGH20-05351-IA,Tissue (skin),NA,NA,NA,NA,P3 (3vials),NA,NA,NA,NA,NA
A33,8/13/2020,Panthera onca,Rio safari Elche,QGH20-05351-IA,Tissue (skin),"Dissection, in culture + freeze",NA,Isa,on going,NA,NA,NA,NA,NA,NA
A34,8/19/2020,Aepyceros melampus petersi,BCN ZOO,AP20-00114 / 13729,Tissue (ear),"Dissection, in culture + freeze",NA,Isa,NA,P0 (1 vial),Pellet DNA,NA,NA,NA,NA
A34,8/19/2020,Aepyceros melampus petersi,BCN ZOO,AP20-00114 / 13729,Tissue (ear),NA,NA,NA,NA,P1 (1vial),Pellet RNA,NA,NA,NA,NA
A34,8/19/2020,Aepyceros melampus petersi,BCN ZOO,AP20-00114 / 13729,Tissue (ear),NA,NA,NA,NA,P2 (1 vial),NA,NA,NA,NA,NA
A34,8/19/2020,Aepyceros melampus petersi,BCN ZOO,AP20-00114 / 13729,Tissue (ear),NA,NA,NA,NA,P3 (2vials),NA,NA,NA,NA,NA
A35,8/13/2020,Hippopotamus amphibus***,BCN ZOO (frozen),AP20-00114 / 13729,Spleen from 2012,"Dissection, in culture + freeze",NA,Isa,Necrotic + contaminated,NA,NA,NA,NA,NA,NA
