"scientific_name","species","iucn_category","superclass","genus","family","order","zoonomia","illumina","silencer"
"Aratinga solstitialis","Aratinga solstitialis","ENDANGERED","Birds","Aratinga","Psittacidae","Psittaciformes",FALSE,TRUE,FALSE
"Ara chloropterus","Ara chloropterus","LEAST CONCERN","Birds","Ara","Psittacidae","Psittaciformes",FALSE,TRUE,FALSE
"Ara ararauna","Ara ararauna","LEAST CONCERN","Birds","Ara","Psittacidae","Psittaciformes",FALSE,TRUE,FALSE
"Eos reticulata","Eos reticulata","NEAR THREATENED","Birds","Eos","Psittaculidae","Psittaciformes",FALSE,TRUE,FALSE
"Procavia capensis","Procavia capensis","LEAST CONCERN","Mammalia","Procavia","Procaviidae","Hyracoidea",TRUE,TRUE,TRUE
"Myrmecophaga tridactyla","Myrmecophaga tridactyla","VULNERABLE","Mammalia","Myrmecophaga","Myrmecophagidae","Pilosa",TRUE,TRUE,TRUE
"Oryctolagus cuniculus","Oryctolagus cuniculus","ENDANGERED","Mammalia","Oryctolagus","Leporidae","Lagomorpha",TRUE,TRUE,TRUE
"Loxodonta africana","Loxodonta africana","ENDANGERED","Mammalia","Loxodonta","Elephantidae","Proboscidea",TRUE,TRUE,TRUE
"Elephas maximus","Elephas maximus","ENDANGERED","Mammalia","Elephas","Elephantidae","Proboscidea",TRUE,TRUE,TRUE
"Ceratotherium simum","Ceratotherium simum","NEAR THREATENED","Mammalia","Ceratotherium","Rhinocerotidae","Perissodactyla",TRUE,TRUE,TRUE
"Equus caballus","Equus caballus","ENDANGERED","Mammalia","Equus","Equidae","Perissodactyla",TRUE,TRUE,TRUE
"Equus quagga","Equus quagga","NEAR THREATENED","Mammalia","Equus","Equidae","Perissodactyla",TRUE,TRUE,TRUE
"Hydrochoerus hydrochaeris","Hydrochoerus hydrochaeris","LEAST CONCERN","Mammalia","Hydrochoerus","Hydrochaeridae","Rodentia",TRUE,TRUE,TRUE
"Dolichotis patagonum","Dolichotis patagonum","NEAR THREATENED","Mammalia","Dolichotis","Caviidae","Rodentia",TRUE,TRUE,TRUE
"Hystrix cristata","Hystrix cristata","LEAST CONCERN","Mammalia","Hystrix","Hystricidae","Rodentia",TRUE,TRUE,TRUE
"Lutra lutra","Lutra lutra","NEAR THREATENED","Mammalia","Lutra","Mustelidae","Carnivora",TRUE,TRUE,TRUE
"Panthera leo","Panthera leo","VULNERABLE","Mammalia","Panthera","Felidae","Carnivora",TRUE,TRUE,TRUE
"Panthera onca","Panthera onca","NEAR THREATENED","Mammalia","Panthera","Felidae","Carnivora",TRUE,TRUE,FALSE
"Canis lupus","Canis lupus","LEAST CONCERN","Mammalia","Canis","Canidae","Carnivora",TRUE,TRUE,FALSE
"Mungos mungo","Mungos mungo","LEAST CONCERN","Mammalia","Mungos","Herpestidae","Carnivora",TRUE,TRUE,FALSE
"Ursus thibetanus","Ursus thibetanus","VULNERABLE","Mammalia","Ursus","Ursidae","Carnivora",TRUE,TRUE,FALSE
"Otaria byronia","Otaria byronia","LEAST CONCERN","Mammalia","Otaria","Otariidae","Carnivora",FALSE,TRUE,FALSE
"Ailuropoda melanoleuca","Ailuropoda melanoleuca","VULNERABLE","Mammalia","Ailuropoda","Ursidae","Carnivora",TRUE,TRUE,FALSE
"Suricata suricatta","Suricata suricatta","LEAST CONCERN","Mammalia","Suricata","Herpestidae","Carnivora",TRUE,TRUE,FALSE
"Crocuta crocuta","Crocuta crocuta","LEAST CONCERN","Mammalia","Crocuta","Hyaenidae","Carnivora",TRUE,TRUE,FALSE
"Zalophus californianus","Zalophus californianus","LEAST CONCERN","Mammalia","Zalophus","Otariidae","Carnivora",TRUE,TRUE,TRUE
"Mustela lutreola novikovi","Mustela lutreola","CRITICALLY ENDANGERED","Mammalia","Mustela","Mustelidae","Carnivora",FALSE,TRUE,TRUE
"Panthera tigris","Panthera tigris","ENDANGERED","Mammalia","Panthera","Felidae","Carnivora",TRUE,TRUE,TRUE
"Pteronura brasiliensis","Pteronura brasiliensis","ENDANGERED","Mammalia","Pteronura","Mustelidae","Carnivora",TRUE,TRUE,FALSE
"Panthera pardus","Panthera pardus","VULNERABLE","Mammalia","Panthera","Felidae","Carnivora",TRUE,TRUE,FALSE
"Ailurus fulgens","Ailurus fulgens","ENDANGERED","Mammalia","Ailurus","Ailuridae","Carnivora",TRUE,TRUE,FALSE
"Ateles hybridus","Ateles hybridus","CRITICALLY ENDANGERED","Mammalia","Ateles","Atelidae","Primates",FALSE,TRUE,FALSE
"Lemur catta","Lemur catta","ENDANGERED","Mammalia","Lemur","Lemuridae","Primates",TRUE,TRUE,FALSE
"Saguinus imperator subgrisescens","Saguinus imperator","LEAST CONCERN","Mammalia","Saguinus","Cebidae","Primates",FALSE,TRUE,FALSE
"Pan troglodytes troglodytes","Pan troglodytes","ENDANGERED","Mammalia","Pan","Hominidae","Primates",FALSE,TRUE,TRUE
"Cercocebus atys lunulatus","Cercocebus atys","ENDANGERED","Mammalia","Cercocebus","Cercopithecidae","Primates",FALSE,TRUE,FALSE
"Pongo pygmaeus","Pongo pygmaeus","CRITICALLY ENDANGERED","Mammalia","Pongo","Hominidae","Primates",FALSE,TRUE,TRUE
"Mandrillus sphinx","Mandrillus sphinx","VULNERABLE","Mammalia","Mandrillus","Cercopithecidae","Primates",TRUE,TRUE,FALSE
"Eulemur fulvus","Eulemur fulvus","VULNERABLE","Mammalia","Eulemur","Lemuridae","Primates",TRUE,TRUE,FALSE
"Cercopithecus neglectus","Cercopithecus neglectus","LEAST CONCERN","Mammalia","Cercopithecus","Cercopithecidae","Primates",TRUE,TRUE,FALSE
