"","scientific_name","species","subspecies","subfamily","cites_annex","iucn_category","individuals","sex","cell_line","karyotype","dna","rna","sequencing","i_psc","tissue_of_origin","alternative_name","species_","taxon_id","synonym","tol_id","genus","phylum","kingdom","superkingdom","assembly_level","biosample","scaffold_n50","assembly_type","contig_n50","gene_count","assembly_date","busco_completeness","gc_percent","mitochondrion_assembly_span","c_value","genome_size","genome_size_kmer","genome_size_draft","chromosome_number","haploid_number","ploidy","insdc_open","published","sequencing_status","Name","Annotation.Release","Freeze.Date","Release.Date","Common.name","Taxon.ID","Ensembl.Assembly","Accession","Genebuild.Method","Variation.database","Regulation.database","common_name","family","class","order","genome_match","species_genome","divergence_mya_adj","taxon_rank","zoonomia","genome","annotation","individuals_cl","cell_lines","fibro","pbmc","ipsc","fibro_l","nspecies","cat","cat_num","orders_num","alternative_name_","selected","top20"
"11","Pan troglodytes troglodytes","Pan troglodytes","troglodytes",NA,"I","ENDANGERED",9,"F/F/F/F/F/?/F/F/M","Fibro",NA,"X",NA,"X","X","Tissue/Blood",NA,"Pan_troglodytes","9598","Pan troglodytes","mPanTro","Pan","Chordata","Metazoa","Eukaryota","Chromosome","SAMN02981217;SAMN06272697;SAMN30216104;SAMN30617505",144388002,NA,94528342,44705,2023-02-27,91.5,NA,16554,3.6953125,3613710000,NA,NA,48,24,2,"PRJNA13184;PRJNA369439;PRJNA916736;PRJNA916737;PRJNA930872;PRJNA941354;PRJNA941355;PRJNA950949",NA,"insdc_open","chimpanzee","GCF_028858775.1-RS_2023_04",2023-04-06,2023-04-11,"Chimpanzee",9598,"Pan_tro_3.0","GCA_000001515.5","Full genebuild","Y","Y","Central chimpanzee,Chimpanzee","Hominidae","Mammalia","Primates","species","Pan troglodytes",0,NA,FALSE,TRUE,TRUE,9,9,9,0,2,TRUE,23,"Both",1,1,NA,"selected","selected"
"12","Cercocebus atys lunulatus","Cercocebus atys","lunulatus",NA,"II","ENDANGERED",6,"F/M/F/M/F/F","Fibro","X","X",NA,"x",NA,NA,"White-naped Mangabey","Cercocebus_atys","9531","Cercocebus fuliginosus","mCerAty","Cercocebus","Chordata","Metazoa","Eukaryota","Scaffold","SAMN03379531",12849131,NA,112942,30556,2015-03-19,NA,NA,16543,3.740234375,3657720000,NA,NA,42,21,2,"PRJNA157077;PRJNA167910",NA,"insdc_open","sooty mangabey","100.0",2015-03-23,2015-03-30,"Sooty mangabey",9531,"Caty_1.0","GCA_000955945.1","Full genebuild","-","Y","White-naped Mangabey,Mangabey","Cercopithecidae","Mammalia","Primates","species","Cercocebus atys",0,NA,FALSE,TRUE,TRUE,5,3,3,0,0,TRUE,23,"Both",1,1,"White-naped_Mangabey","selected","selected"
"13","Pongo pygmaeus","Pongo pygmaeus",NA,NA,"I","CRITICALLY ENDANGERED",3,"F/U/M","Fibro","X","X","X","x","X","Cell culture / Placenta/ombelical Cordon","Pongo pygmaeus pygmaeus","Pongo_pygmaeus","9600","Pongo pygmaeus fromageti","mPonPyg","Pongo","Chordata","Metazoa","Eukaryota","Chromosome","SAMEA9989851;SAMN10521809;SAMN23575352",140977933,NA,90555683,39296,2023-02-28,93.9,NA,16389,3.66015625,3579480000,NA,NA,48,24,2,"EBP;PRGP;PRJEB47562;PRJNA785018;PRJNA916740;PRJNA916742;PRJNA930876",NA,"insdc_open","Bornean orangutan","GCF_028885625.1-RS_2023_04",2023-04-06,2023-04-11,NA,NA,NA,NA,NA,NA,NA,"Orangutan","Hominidae","Mammalia","Primates","species","Pongo pygmaeus",0,NA,FALSE,TRUE,TRUE,3,3,3,0,1,TRUE,23,"Both",1,1,"Pongo_pygmaeus pygmaeus","selected","selected"
"14","Mandrillus sphinx","Mandrillus sphinx",NA,"Cercopithecinae","I","VULNERABLE",2,"F/M","Fibro","X","X",NA,"x",NA,"Tissue",NA,"Mandrillus_sphinx","9561","Simia madarogaster","mManSph","Mandrillus","Chordata","Metazoa","Eukaryota","Contig","CNS0036001;SAMN08634632;SAMN23575347",20999372,NA,20999372,NA,2022-06-17,NA,NA,16546,3.5,3.423e+09,NA,NA,42,21,2,"EBP;PRGP;PRJNA436891;PRJNA785018",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandrill","Cercopithecidae","Mammalia","Primates","species","Mandrillus sphinx",0,NA,TRUE,TRUE,TRUE,2,2,2,0,0,TRUE,23,"Both",1,1,NA,"selected","selected"
"15","Eulemur fulvus","Eulemur fulvus",NA,NA,"I","VULNERABLE",2,"F/F","Fibro","X","X",NA,"x",NA,"Tissue",NA,"Eulemur_fulvus","13515","Eulemur fulvus fulvus","mEulFul","Eulemur","Chordata","Metazoa","Eukaryota","Scaffold","SAMN07678083",22561,NA,21310,NA,2019-01-16,58.2,NA,17122,3.35546875,3281190000,NA,NA,48,24,2,"EBP;PRJNA399393;ZOONOMIA",NA,"published",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Common brown lemur,Brown lemur","Lemuridae","Mammalia","Primates","species","Eulemur fulvus",0,NA,TRUE,TRUE,TRUE,2,2,2,0,0,TRUE,23,"Both",1,1,NA,"selected","selected"
"16","Gorilla gorilla","Gorilla gorilla",NA,NA,"I","CRITICALLY ENDANGERED",2,"-/F","Fibro/PBMc",NA,"X",NA,"X","X","Blood/Tissue",NA,"Gorilla_gorilla","9593","Gorilla gorilla","mGorGor","Gorilla","Chordata","Metazoa","Eukaryota","Chromosome","SAMEA2272491;SAMEA3541598;SAMN04003007;SAMN11078986;SAMN30617507",151559850,NA,124954819,NA,2023-04-03,NA,NA,16364,3.5703125,3491460000,NA,NA,48,24,2,"PRJEA31265;PRJEB10880;PRJNA369439;PRJNA916732;PRJNA916733;PRJNA930782;PRJNA941352;PRJNA941353;PRJNA942267;PRJNA954414",NA,"insdc_open","western gorilla","102.0",2019-09-20,2019-09-30,NA,NA,NA,NA,NA,NA,NA,"Western Gorilla,Western lowland gorilla","Hominidae","Mammalia","Primates","species","Gorilla gorilla",0,NA,TRUE,TRUE,TRUE,2,1,1,0,1,TRUE,23,"Both",1,1,NA,"selected","selected"
"17","Nanger dama","Nanger dama",NA,"Antilopinae","I","CRITICALLY ENDANGERED",14,"F/F/F/F/F/F/F/F/M/M","Fibro","X","X",NA,"X",NA,"blood/placenta/ombelical cord",NA,"Nanger_dama","67940","Nanger dama","mNanDam","Nanger","Chordata","Metazoa","Eukaryota","Scaffold","SAMEA9955968;SAMN18578434",37125998,NA,37125998,NA,2021-11-18,NA,NA,16377,3.48046875,3403440000,NA,NA,37,15,2,"PRJEB47547;PRJNA718892",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dama Gazelle,Dama gazelle","Bovidae","Mammalia","Artiodactyla","species","Nanger dama",0,NA,FALSE,TRUE,FALSE,13,6,6,0,0,TRUE,35,"Both",1,1,NA,"selected","selected"
"18","Giraffa camelopardalis","Giraffa camelopardalis",NA,NA,"II","VULNERABLE",2,"F/F","Fibro","X",NA,NA,"X",NA,NA,NA,"Giraffa_camelopardalis","9894","Giraffa camelopardalis","mGirCam","Giraffa","Chordata","Metazoa","Eukaryota","Scaffold","SAMN08714473;SAMN14677183;SAMN15027847",3153258,NA,25056,NA,2023-04-03,NA,NA,16433,2.76953125,2709060000,NA,NA,30,15,2,"EBP;LOEWE-TBG;PRJNA438286;PRJNA627604;PRJNA635165",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cameleopardis giraffe,Reticulated giraffe","Giraffidae","Mammalia","Artiodactyla","species","Giraffa camelopardalis",0,NA,TRUE,TRUE,TRUE,2,2,2,0,0,TRUE,35,"Both",1,1,NA,"selected","selected"
"19","Lama guanicoe","Lama guanicoe",NA,NA,"II","LEAST CONCERN",3,"F/F/-","Fibro",NA,"X",NA,NA,NA,NA,NA,"Lama_guanicoe","9840","Lama guanicoe","mLamGua","Lama","Chordata","Metazoa","Eukaryota","Scaffold","CNS0198842;SAMN08242136",14786206,NA,343812,NA,2023-04-03,NA,NA,16649,3.2109375,3139380000,NA,NA,74,37,2,"PRJNA427644",NA,"insdc_open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guanaco","Camelidae","Mammalia","Artiodactyla","species","Lama guanicoe",0,NA,TRUE,TRUE,TRUE,3,2,2,0,0,TRUE,35,"Both",1,1,NA,"selected","selected"
"20","Oryx dammah","Oryx dammah",NA,"Antilopinae","I","EXTINCT IN THE WILD",3,"F/F/M","Fibro","X",NA,"X","x","X","Tissue",NA,"Oryx_dammah","59534","Oryx dammah","mOryDam","Oryx","Chordata","Metazoa","Eukaryota","Scaffold","SAMN14518290",100398400,NA,374342,32423,2020-09-25,NA,NA,16689,3.98046875,3892440000,NA,NA,57,28,2,"PRJNA622505",NA,"insdc_open","scimitar-horned oryx","100.0",2021-03-15,2021-03-20,NA,NA,NA,NA,NA,NA,NA,"Scimitar-horned Oryx,scimitar-horned oryx","Bovidae","Mammalia","Artiodactyla","species","Oryx dammah",0,NA,TRUE,TRUE,TRUE,3,2,2,0,1,TRUE,35,"Both",1,1,NA,"selected","selected"
