"scientific_name","iucn_category","superclass","class","genus","individuals","fibro","tissue_of_origin","assembly_level","scaffold_n50","genome_size","genome_match","selected"
"Threskiornis aethiopicus","LEAST CONCERN","Birds","Aves","Threskiornis",1,1,"Tissue/Trachea","Scaffold",90113662,1222500000,"species",TRUE
"Pelecanus crispus","VULNERABLE","Birds","Aves","Pelecanus",1,1,"Trachea","Scaffold",43364,1290960000,"species",FALSE
"Guaruba guarouba","VULNERABLE","Birds","Aves","Guaruba",1,1,"Trachea","Scaffold",29847,1339860000,"species",FALSE
"Eclectus roratus","LEAST CONCERN","Birds","Aves","Eclectus",1,1,"Tissue","Scaffold",28643,1555020000,"species",FALSE
"Anodorhynchus hyacinthinus","VULNERABLE","Birds","Aves","Anodorhynchus",2,1,"Trachea","Scaffold",12605,1320300000,"species",FALSE
"Aratinga solstitialis","ENDANGERED","Birds","Aves","Aratinga",1,1,"Tissue/Trachea","Scaffold",16980747,1339860000,"species",TRUE
"Ara chloropterus","LEAST CONCERN","Birds","Aves","Ara",1,1,"Trachea","Scaffold",19108,1447440000,"species",FALSE
"Ara ararauna","LEAST CONCERN","Birds","Aves","Ara",2,1,"Trachea","Chromosome",110438430,1418100000,"species",TRUE
"Eos reticulata","NEAR THREATENED","Birds","Aves","Eos",1,1,"Trachea","Scaffold",25275,1300740000,"genus",FALSE
"Procavia capensis","LEAST CONCERN","Mammalia","Mammalia","Procavia",2,2,"Tissue","Scaffold",905827,3970679999,"species",FALSE
"Myrmecophaga tridactyla","VULNERABLE","Mammalia","Mammalia","Myrmecophaga",2,1,"Fetal Sample","Scaffold",41255,4224960000,"species",FALSE
"Oryctolagus cuniculus","ENDANGERED","Mammalia","Mammalia","Oryctolagus",2,1,"Tissue","Chromosome",111644748,3188280000,"species",FALSE
"Loxodonta africana","ENDANGERED","Mammalia","Mammalia","Loxodonta",1,1,"Tissue","Scaffold",46401353,4342320000,"species",FALSE
"Elephas maximus","ENDANGERED","Mammalia","Mammalia","Elephas",4,1,"Blood, Tissue (ear)/Umbellical Cordon/Placenta","Scaffold",102334419,3941340000,"species",FALSE
"Ceratotherium simum","NEAR THREATENED","Mammalia","Mammalia","Ceratotherium",3,2,"Blood","Chromosome",67555069,3266520000,"species",TRUE
"Equus caballus","ENDANGERED","Mammalia","Mammalia","Equus",2,2,"Placenta/ Umbilical Cordon, Tissue (ear)","Chromosome",87230776,3110040000,"species",FALSE
"Equus quagga","NEAR THREATENED","Mammalia","Mammalia","Equus",3,2,"Tissue","Chromosome",122556673,3481680000,"species",TRUE
"Hydrochoerus hydrochaeris","LEAST CONCERN","Mammalia","Mammalia","Hydrochoerus",1,1,"Tissue","Scaffold",202224,3663832500,"species",FALSE
"Dolichotis patagonum","NEAR THREATENED","Mammalia","Mammalia","Dolichotis",3,2,"Tissue","Scaffold",31026,3618600000,"species",TRUE
