"scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","cell_barcode","wgs","rna_seq","x15","iucn","iPSC","animal_id","individual_id","lines_per_individual","status","superclass"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH22-06088","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A335",NA,NA,NA,NA,"CR",FALSE,"A335","I_A335",1,FALSE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","MIG12-29854099/MADRID Z / GAD26","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A393",NA,NA,NA,NA,"CR",FALSE,"A393","I_A393",1,FALSE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH16-04153/barcelona/12778","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A397",NA,NA,NA,NA,"CR",FALSE,"A397","I_A397",1,FALSE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH17-04511/barcelona/12963","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A398",NA,NA,NA,NA,"CR",FALSE,"A398","I_A398",1,FALSE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae",NA,NA,NA,"Fibro","DNA","K",NA,NA,"Nanger Dama Mhorr A9","A9","*A9*","L-AD9",NA,NA,"CR",FALSE,"A9","I_A9",1,TRUE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","MIG12-29320182/ BARCELONA / 11263","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A447",NA,NA,NA,NA,"CR",FALSE,"A447","I_A447",1,FALSE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","ALM20-00023/: ELCHE SAF / 1789","CAPTIVE","F","Fibro","DNA","RNA",NA,NA,NA,"A468",NA,NA,NA,NA,"CR",FALSE,"A468","I_A468",1,TRUE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH24-06588/: BARCELONA / 14463","CAPTIVE","U","Fibro","DNA","RNA","WGS","RNA-Seq",NA,"A544",NA,"ABA23461","BB1572",NA,"CR",FALSE,"A544","I_A544",1,TRUE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH17-04511 / BARCELONA / 12963",NA,NA,"Fibro","DNA","RNA","WGS","RNA-Seq",NA,"A599",NA,"ABA23417","BB5587",NA,"CR",FALSE,"A599","I_A599",1,TRUE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","MLJ16-01181/MADRID Z / GAD43","CAPTIVE","F","Fibro","RNA",NA,NA,NA,NA,"A632",NA,NA,NA,NA,"CR",FALSE,"A632","I_A632",1,TRUE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH25-07517 / BARCELONA / 15325","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A680",NA,NA,NA,NA,"CR",FALSE,"A680","I_A680",1,FALSE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH16-04260 / BARCELONA / 12876","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A718",NA,NA,NA,NA,"CR",FALSE,"A718","I_A718",1,FALSE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH16-04019 / BARCELONA / 12685","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A724",NA,NA,NA,NA,"CR",FALSE,"A724","I_A724",1,FALSE,"Mammalia"
"Nanger dama mhorr","Nanger dama","mhorr","Mhorr Gazelle","Bovidae","QGH26-08181/ BARCELONA / 15962","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A801",NA,NA,NA,NA,"CR",FALSE,"A801","I_A801",1,FALSE,"Mammalia"
"Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","MIG12-29435084/BARCELONA11047","CAPTIVE","M","Fibro","K","WGS","RNA-Seq",NA,"Gazella Dorcas A18","A18","*A18*","L-AD18","BB5623",NA,"VU",FALSE,"A18","I_A18",1,TRUE,"Mammalia"
"Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","WKP15-00424/BARCELONA13589","CAPTIVE","M","Fibro","K",NA,NA,NA,"Gazella Dorcas A148","A148","*A148*",NA,NA,"https://www.iucnredlist.org/species/8969/50186334","VU",FALSE,"A148","I_A148",1,TRUE,"Mammalia"
"Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","FRW18-00814/JEREZ / GDO333","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A96",NA,NA,NA,"https://animaldiversity.org/accounts/Gazella_dorcas/","VU",FALSE,"A96","I_A96",1,FALSE,"Mammalia"
"Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","QGH16-04140","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A283","*A283*",NA,NA,NA,"VU",FALSE,"A283","I_A283",1,TRUE,"Mammalia"
"Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","MIG12-29435079","CAPTIVE","F","Fibro","DNA",NA,NA,NA,NA,"A21","*A21*","L-AD21",NA,NA,"VU",FALSE,"A21","I_A21",1,TRUE,"Mammalia"
"Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","QGH18-04728/BARCELONA / 13096","CAPTIVE","M","Fibro","K",NA,NA,NA,"Gazella Dorcas A167","A167","*A167*",NA,NA,NA,"VU",FALSE,"A167","I_A167",1,TRUE,"Mammalia"
"Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","QGH2306333-IA","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A456",NA,NA,NA,NA,"VU",FALSE,"A456","I_A456",1,FALSE,"Mammalia"
"Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","QGH23-06339/BARCELONA / 14280","CAPTIVE","F","Fibro",NA,NA,NA,NA,NA,"A465",NA,NA,NA,NA,"VU",FALSE,"A465","I_A465",1,TRUE,"Mammalia"
"Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae",NA,NA,NA,"Fibro","DNA","RNA",NA,NA,NA,"A523",NA,NA,NA,NA,"VU",FALSE,"A523","I_A523",1,TRUE,"Mammalia"
"Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","MIG12-29435068 / BARCELONA / 11110","CAPTIVE","F","Fibro","DNA","WGS",NA,NA,NA,"A589",NA,"A589_1",NA,NA,"VU",FALSE,"A589","I_A589",1,TRUE,"Mammalia"
"Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","MIG12-29435074/BARCELONA / 10897","CAPTIVE","F","Fibro",NA,NA,NA,NA,NA,"A691",NA,NA,NA,NA,"VU",FALSE,"A691","I_A691",1,TRUE,"Mammalia"
"Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","QGH17-04698/BARCELONA / 13077","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A783",NA,NA,NA,NA,"VU",FALSE,"A783","I_A783",1,FALSE,"Mammalia"
"Gazella dorcas","Gazella dorcas",NA,"Dorcas Gazelle","Bovidae","QGH17-04513/ BARCELONA / 12965","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A798",NA,NA,NA,NA,"VU",FALSE,"A798","I_A798",1,FALSE,"Mammalia"
