"taxon_id","species","order","class","superclass","iucn_category","genome","annotation","zoonomia","individuals","cell_lines","fibro","pbmc","ipsc","tissue_of_origin","genome_match","species_genome","assembly_level","scaffold_n50","contig_n50","gene_count","assembly_date","busco_completeness","genome_size","haploid_number","ploidy","sequencing_status","TOGA","common_name","alternative_name","subspecies","genus","subfamily","family","project"
"184239","Crocodylus rhombifer","Crocodylia",NA,"Reptil","CRITICALLY ENDANGERED",TRUE,TRUE,FALSE,1,1,1,0,0,"Trachea","species","Crocodylus rhombifer","Scaffold",478168,99156,NA,"2024-04-26",NA,2777520000,15,2,"insdc_open","toga1/2","Cuban Crocodile,Cuban crocodile",NA,NA,"Crocodylus",NA,"Crocodylidae","illumina"
"184242","Osteolaemus tetraspis","Crocodylia",NA,"Reptil","VULNERABLE",FALSE,TRUE,FALSE,1,1,1,0,0,"Trachea","family","Crocodylus siamensis","Chromosome",247920864,22917388,NA,"2025-08-18",NA,2777520000,19,2,NA,"toga1/2",NA,NA,NA,"Osteolaemus",NA,"Crocodylidae","illumina"
"167804","Aldabrachelys gigantea","Testudines",NA,"Reptil","VULNERABLE",TRUE,TRUE,FALSE,2,1,1,0,0,NA,"species","Aldabrachelys gigantea","Chromosome",148569599,58656949,NA,"2022-11-15",NA,2889990000,26,2,"insdc_open","toga1/2","Aldabra giant tortoise","Geochelone gigantea",NA,"Aldabrachelys",NA,"Testudinidae","tetrapod"
"8467","Caretta caretta","Testudines",NA,"Reptil","VULNERABLE",TRUE,TRUE,FALSE,2,2,0,2,0,"Blood","species","Caretta caretta","Chromosome",137541926,124322749,24360,"2025-02-13",NA,2581920000,27,2,"insdc_open","toga1/2","Loggerhead Turtle,Turtle, Loggerhead Sea;Loggerhead turtle",NA,NA,"Caretta",NA,"Cheloniidae","tetrapod"
"74909","Cuora amboinensis","Testudines",NA,"Reptil","VULNERABLE",TRUE,TRUE,FALSE,1,0,0,0,0,"Trachea","species","Cuora amboinensis","Scaffold",247606,47152,NA,"2019-03-22",86.4,2229840000,25,2,"insdc_open","toga1/2","Southeast Asian box turtle,Malayan box turtle;Amboina box turtle",NA,"kamaroma","Cuora",NA,"Geoemydidae","tetrapod"
"176197","Mauremys leprosa","Testudines",NA,"Reptil","VULNERABLE",FALSE,TRUE,FALSE,2,0,0,0,0,"Trachea","genus","Mauremys mutica","Chromosome",135065811,15010728,23448,"2021-10-14",NA,2073360000,25,2,"insdc_open","toga1/2",NA,NA,NA,"Mauremys",NA,"Geoemydidae","tetrapod"
"158816","Terrapene nelsoni","Testudines",NA,"Reptil","NA",FALSE,TRUE,FALSE,2,0,0,0,0,"Tissue","genus","Terrapene carolina","Scaffold",118976305,7809,NA,"2024-11-10",NA,2405880000,25,2,"insdc_open","toga1/2",NA,NA,NA,"Terrapene",NA,"Emydidae","tetrapod"
"569598","Stigmochelys pardalis","Testudines",NA,"Reptil","LEAST CONCERN",FALSE,TRUE,FALSE,1,0,0,0,0,NA,"family","Gopherus flavomarginatus","Chromosome",162938067,6917139,NA,"2022-09-15",NA,2464560000,26,2,"insdc_open","toga1/2","Leopard Tortoise,Leopard tortoise",NA,NA,"Stigmochelys",NA,"Testudinidae","tetrapod"
"86976","Testudo hermanni","Testudines",NA,"Reptil","ENDANGERED",FALSE,TRUE,FALSE,1,0,0,0,0,"Tissue","genus","Testudo graeca","Chromosome",130162285,133608,NA,"2024-07-19",NA,3423000000,26,2,"insdc_open","toga1/2","Balkan Hermann's tortoise,Hermann's tortoise",NA,"hermanni","Testudo",NA,"Testudinidae","tetrapod"
"55547","Heosemys spinosa","Testudines",NA,"Reptil","ENDANGERED",FALSE,TRUE,FALSE,1,0,0,0,0,"Trachea","family","Pangshura tecta","Chromosome",136649681,54152134,NA,"2024-12-06",NA,4009799999,26,2,"insdc_open","toga1/2","Spiny Turtle,Spiny turtle",NA,NA,"Heosemys",NA,"Geoemydidae","tetrapod"
"571338","Macrochelys temminckii","Testudines",NA,"Reptil","VULNERABLE",FALSE,TRUE,FALSE,1,0,0,0,0,"Trachea","genus","Macrochelys suwanniensis","Chromosome",139680232,43882550,NA,"2023-11-06",NA,2547690000,26,2,"insdc_open","toga1/2",NA,NA,NA,"Macrochelys",NA,"Chelydridae","tetrapod"
"33571","Graptemys pseudogeographica","Testudines",NA,"Reptil","LEAST CONCERN",FALSE,TRUE,FALSE,1,1,1,0,0,NA,"genus","Graptemys geographica","Chromosome",145729234,83656063,NA,"2025-07-18",NA,2122260000,25,2,"insdc_open","toga1/2","Map turtle,False map turtle","Graptemys",NA,"Graptemys",NA,"Emydidae","tetrapod"
"8558","Varanus albigularis","Squamata","Lepidosauria","Reptil","LEAST CONCERN",TRUE,TRUE,FALSE,1,1,1,0,0,"Tissue","species","Varanus albigularis","Scaffold",14924,9422,NA,"2024-10-23",NA,2009790000,20,3,"insdc_open","toga1/2","White-throated monitor",NA,NA,"Varanus",NA,"Varanidae","illumina"
"187939","Furcifer pardalis","Squamata","Lepidosauria","Reptil","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,0,0,0,"Tissue","species","Furcifer pardalis","Chromosome",184669281,158731830,NA,"2023-07-12",NA,2449889999,11,3,"insdc_open","toga1/2",NA,NA,NA,"Furcifer",NA,"Chamaeleonidae","tetrapod"
