"scientific_name","iucn_category","superclass","class","genus","individuals","fibro","tissue_of_origin","assembly_level","scaffold_n50","genome_size","genome_match","selected"
"Notamacropus rufogriseus","LEAST CONCERN","Mammalia","Mammalia","Notamacropus",9,7,"Tissue","Contig",938,4371659999,"species",TRUE
"Petrogale xanthopus","NEAR THREATENED","Mammalia","Mammalia","Petrogale",2,2,"Tissue","Contig",1261,3970680000,"species",FALSE
"Osphranter rufus","LEAST CONCERN","Mammalia","Mammalia","Osphranter",4,4,"Tissue","Contig",1110,3061140000,"species",TRUE
"Loxodonta africana","ENDANGERED","Mammalia","Mammalia","Loxodonta",2,2,"Tissue","Chromosome",119600562,4342320000,"species",FALSE
"Elephas maximus sumatranus",NA,"Mammalia","Mammalia","Elephas",1,2,"Tissue (ear)/Umbellical Cordon/Placenta","Chromosome",130469234,3941340000,"species",FALSE
"Equus quagga chapmani","NEAR THREATENED","Mammalia","Mammalia","Equus",3,3,NA,"Chromosome",122556673,3481680000,"species",TRUE
"Ceratotherium simum","NEAR THREATENED","Mammalia","Mammalia","Ceratotherium",3,2,"Blood","Chromosome",67555069,3266520000,"species",FALSE
"Equus caballus przewalskii","ENDANGERED","Mammalia","Mammalia","Equus",1,1,"Placenta/ Umbilical Cordon","Chromosome",99223387,3110040000,"species",FALSE
"Equus quagga burchelli","NEAR THREATENED","Mammalia","Mammalia","Equus",4,2,"Tissue","Chromosome",122556673,3481680000,"species",TRUE
"Equus caballus","NA","Mammalia","Mammalia","Equus",1,1,"Tissue (ear)","Chromosome",99223387,3110040000,"species",FALSE
"Tapirus terrestris","VULNERABLE","Mammalia","Mammalia","Tapirus",2,2,"Tissue (skin)","Scaffold",186384,3696840000,"species",FALSE
"Hydrochoerus hydrochaeris","LEAST CONCERN","Mammalia","Mammalia","Hydrochoerus",1,1,"Tissue","Scaffold",202224,3663832500,"species",FALSE
"Dolichotis patagonum","NEAR THREATENED","Mammalia","Mammalia","Dolichotis",3,2,"Tissue","Scaffold",31026,3618600000,"species",FALSE
"Eliomys quercinus","NEAR THREATENED","Mammalia","Mammalia","Eliomys",1,1,"Tissue","Chromosome",108114398,3882659999,"species",FALSE
"Hystrix cristata","LEAST CONCERN","Mammalia","Mammalia","Hystrix",1,2,"Tissue","Scaffold",64768,3663832500,"species",FALSE
"Cynomys ludovicianus","LEAST CONCERN","Mammalia","Mammalia","Cynomys",2,2,"Tissue","Scaffold",1032944,3882659999,"species",FALSE
"Rattus norvegicus","LEAST CONCERN","Mammalia","Mammalia","Rattus",1,1,"Tissue","Chromosome",137014596,3198060000,"species",FALSE
"Lutra lutra","NEAR THREATENED","Mammalia","Mammalia","Lutra",2,1,"tissue","Chromosome",149004807,2880210000,"species",FALSE
"Panthera leo","VULNERABLE","Mammalia","Mammalia","Panthera",9,9,"blood","Chromosome",147402474,2885100000,"species",TRUE
"Panthera onca","NEAR THREATENED","Mammalia","Mammalia","Panthera",4,6,"Tissue","Chromosome",132627732,2767740000,"species",TRUE
"Canis lupus signatus","LEAST CONCERN","Mammalia","Mammalia","Canis",4,5,"Tissue/Blood","Chromosome",65778685,2748180000,"species",TRUE
"Mungos mungo","LEAST CONCERN","Mammalia","Mammalia","Mungos",3,3,"Tissue","Scaffold",236501,2823975000,"species",FALSE
"Ursus thibetanus","VULNERABLE","Mammalia","Mammalia","Ursus",1,1,"Tissue","Scaffold",26803000,2689500000,"species",FALSE
"Otaria byronia","LEAST CONCERN","Mammalia","Mammalia","Otaria",5,5,"Tissue","Scaffold",144693000,3080700000,"species",TRUE
"Ailuropoda melanoleuca","VULNERABLE","Mammalia","Mammalia","Ailuropoda",2,1,"Tissue","Chromosome",129245720,2689500000,"species",FALSE
"Suricata suricatta","LEAST CONCERN","Mammalia","Mammalia","Suricata",6,7,"Tissue","Chromosome",141453419,2823975000,"species",TRUE
