"scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","cell_barcode","wgs","rna_seq","x14","iucn","superclass","data","animal_id","individual_id","lines_per_individual","iPSC","status"
"Natrix maura","Natrix maura",NA,"Viperine Snake","Natricidae","MCNB","WILD","U","Primary",NA,NA,NA,NA,NA,"A837",NA,NA,NA,NA,"LC","Reptiles",NA,"A837","I_A837",1,FALSE,FALSE
"Natrix maura","Natrix maura",NA,"Viperine Snake","Natricidae","MCNB","WILD","U","Primary",NA,NA,NA,NA,NA,"A186",NA,NA,NA,NA,"LC","Reptiles",NA,"A186","I_A186",1,FALSE,FALSE
"Natrix astreptophora","Natrix astreptophora",NA,"Red-eyed Grass Snake","Natricidae","MCNB","WILD","U","Primary",NA,NA,NA,NA,NA,"A815",NA,NA,NA,"https://www.iucnredlist.org/species/165594036/165594039","LC","Reptiles",NA,"A815","I_A815",1,FALSE,FALSE
"Zamenis scalaris","Zamenis scalaris",NA,"Ladder Snake","Colubridae","CN13609 Tarragona","WILD","U","Fibro","WGS",NA,NA,NA,NA,"A562",NA,"ABA20150",NA,"https://www.iucnredlist.org/species/61565/137857016","LC","Reptiles",NA,"A562","I_A562",1,FALSE,TRUE
"Zamenis longissimus","Zamenis longissimus",NA,"Aesculapian Ratsnake","Colubridae","CN13594 Vall d'Aran","WILD","U","Primary","WGS",NA,NA,NA,NA,"A561",NA,"ABA20121",NA,"https://www.iucnredlist.org/species/157266/49063773","LC","Reptiles",NA,"A561","I_A561",1,FALSE,FALSE
"Corucia zebrata","Corucia zebrata",NA,"Prehensile-tailed skink","Scincidae","QGH20-05473/BARCELONA / 13766","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A370",NA,NA,NA,"https://www.iucnredlist.org/species/196593/2463961","NT","Reptiles",NA,"A370","I_A370",1,FALSE,FALSE
"Corucia zebrata","Corucia zebrata",NA,"Prehensile-tailed skink","Scincidae","QGH24-06766 / BARCELONA / 14624","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A584",NA,NA,NA,NA,"NT","Reptiles",NA,"A584","I_A584",1,FALSE,FALSE
"Corucia zebrata","Corucia zebrata",NA,"Prehensile-tailed skink","Scincidae","24712322 - BARCELONA / 9368","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A627",NA,NA,NA,NA,"NT","Reptiles",NA,"A627","I_A627",1,FALSE,FALSE
"Caribicus warreni","Caribicus warreni",NA,"Giant hispaniolan galliwasp","Anguidae","24035004/BARCELONA / 10181","CAPTIVE","M","Fibro","DNA","RNA","WGS","RNA-Seq",NA,"A535",NA,"ABA20010","BB5566","https://www.iucnredlist.org/species/39260/115172613","VU","Reptiles",NA,"A535","I_A535",1,FALSE,TRUE
"Caribicus warreni","Caribicus warreni",NA,"Giant hispaniolan galliwasp","Anguidae","24035005 / BARCELONA / 10182","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A702",NA,NA,NA,NA,"VU","Reptiles",NA,"A702","I_A702",1,FALSE,FALSE
"Ctenosaura bakeri","Ctenosaura bakeri",NA,"Utila Spiny-tailed Iguana","Iguanidae","20822283 - BARCELONA / 9852","LOAN","F","Fibro","DNA","WGS",NA,NA,NA,"A567",NA,"ABA20103",NA,"https://www.iucnredlist.org/es/species/44181/125203850","CR","Reptiles",NA,"A567","I_A567",1,FALSE,TRUE
"Timon lepidus","Timon lepidus",NA,"Ocellated Lizard","Lacertidae","-","WILD","U","Primary","WGS",NA,NA,NA,NA,"A598",NA,"ABA20154",NA,"https://www.iucnredlist.org/species/218293375/137858480","LC","Reptiles",NA,"A598","I_A598",1,FALSE,FALSE
"Timon nevadensis","Timon nevadensis",NA,"Sierra Nevada Ocellated Lizard","Lacertidae","MCNB","WILD","U","Primary",NA,NA,NA,NA,NA,"A835",NA,NA,NA,"https://www.iucnredlist.org/species/200064594/207063060","LC","Reptiles",NA,"A835","I_A835",1,FALSE,FALSE
"Timon nevadensis","Timon nevadensis",NA,"Sierra Nevada Ocellated Lizard","Lacertidae","MCNB","WILD","U","Primary",NA,NA,NA,NA,NA,"A833",NA,NA,NA,NA,"LC","Reptiles",NA,"A833","I_A833",1,FALSE,FALSE
"Psammodromus algirus","Psammodromus algirus",NA,"Large Psammodromus","Lacertidae","-","WILD","U","Primary",NA,NA,NA,NA,NA,"A681",NA,NA,NA,"https://www.iucnredlist.org/species/42668917/245088884","LC","Reptiles",NA,"A681","I_A681",1,FALSE,FALSE
"Psammodromus algirus","Psammodromus algirus",NA,"Large Psammodromus","Lacertidae",NA,"WILD","U","Primary",NA,NA,NA,NA,NA,"A682",NA,NA,NA,NA,"LC","Reptiles",NA,"A682","I_A682",1,FALSE,FALSE
"Psammodromus algirus","Psammodromus algirus",NA,"Large Psammodromus","Lacertidae",NA,"WILD","U","Primary",NA,NA,NA,NA,NA,"A683",NA,NA,NA,NA,"LC","Reptiles",NA,"A683","I_A683",1,FALSE,FALSE
"Acanthodactylus erythrurus","Acanthodactylus erythrurus",NA,"Spiny-footed Lizard","Lacertidae",NA,"WILD","U","Primary",NA,NA,NA,NA,NA,"A697",NA,NA,NA,"https://www.iucnredlist.org/species/61456/207646900","LC","Reptiles",NA,"A697","I_A697",1,FALSE,FALSE
"Acanthodactylus erythrurus","Acanthodactylus erythrurus",NA,"Spiny-footed Lizard","Lacertidae",NA,"WILD","U","Primary",NA,NA,NA,NA,NA,"A698",NA,NA,NA,NA,"LC","Reptiles",NA,"A698","I_A698",1,FALSE,FALSE
"Psammodromus edwarsianus","Psammodromus edwarsianus",NA,"Edwards's Psannodromus","Lacertidae","MCNB","WILD","U","Primary",NA,NA,NA,NA,NA,"A829",NA,NA,NA,"https://www.iucnredlist.org/species/42668029/42668047","LC","Reptiles",NA,"A829","I_A829",1,FALSE,FALSE
"Psammodromus edwarsianus","Psammodromus edwarsianus",NA,"Edwards's Psannodromus","Lacertidae","MCNB","WILD","U","Fibro",NA,NA,NA,NA,NA,"A822",NA,NA,NA,NA,"LC","Reptiles",NA,"A822","I_A822",1,FALSE,TRUE
"Podarcis hispanicus","Podarcis hispanicus",NA,"Spanish Wall Lizard","Lacertidae","MCNB","WILD","U","Primary",NA,NA,NA,NA,NA,"A827",NA,NA,NA,"https://www.iucnredlist.org/species/204865442/137855369","LC","Reptiles",NA,"A827","I_A827",1,FALSE,FALSE
"Podarcis hispanicus","Podarcis hispanicus",NA,"Spanish Wall Lizard","Lacertidae","MCNB","WILD","U","Primary",NA,NA,NA,NA,NA,"A826",NA,NA,NA,NA,"LC","Reptiles",NA,"A826","I_A826",1,FALSE,FALSE
"Podarcis pityusensis","Podarcis pityusensis",NA,"Ibiza Wall Lizard","Lacertidae","QGH26-08212/BARCELONA / 15994","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A811",NA,NA,NA,"https://www.iucnredlist.org/species/17800/137843475","EN","Reptiles",NA,"A811","I_A811",1,FALSE,FALSE
"Ctenosaura similis","Ctenosaura similis",NA,"Common Spiny-tailed Iguana","Iguanidae","MIG12-28325622/BARCELONA / 7693","WILD","F","Fibro","RNA",NA,NA,NA,NA,"A624",NA,NA,NA,NA,"LC","Reptiles",NA,"A624","I_A624",1,FALSE,TRUE
"Sceloporus serrifer","Sceloporus serrifer",NA,"Blue spiny lizard","Phrynosomatidae","QGH19-05133/BARCELONA / 13458","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A623",NA,NA,NA,NA,"LC","Reptiles",NA,"A623","I_A623",1,FALSE,FALSE
"Sceloporus serrifer","Sceloporus serrifer",NA,"Blue spiny lizard","Phrynosomatidae","QGH24-06809/BARCELONA / 14662","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A752",NA,NA,NA,NA,"LC","Reptiles",NA,"A752","I_A752",1,FALSE,TRUE
"Sceloporus serrifer","Sceloporus serrifer",NA,"Blue spiny lizard","Phrynosomatidae","QGH19-05121/ BARCELONA / 13445","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A757",NA,NA,NA,NA,"LC","Reptiles",NA,"A757","I_A757",1,FALSE,FALSE
"Sceloporus serrifer","Sceloporus serrifer",NA,"Blue spiny lizard","Phrynosomatidae","QGH19-05122/BARCELONA / 13446","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A758",NA,NA,NA,NA,"LC","Reptiles",NA,"A758","I_A758",1,FALSE,FALSE
"Heloderma suspectum","Heloderma suspectum",NA,"Gila monster","Helodermatidae","QGH18-04894/BARCELONA / 13205","UNKNOWN","U","Primary",NA,NA,NA,NA,NA,"A799",NA,NA,NA,"https://www.iucnredlist.org/species/9865/13022716","NT","Reptiles",NA,"A799","I_A799",1,FALSE,FALSE
"Heloderma suspectum","Heloderma suspectum",NA,"Gila monster","Helodermatidae","QGH18-04894/BARCELONA / 13205","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A834",NA,NA,NA,NA,"NT","Reptiles",NA,"A834","I_A834",1,FALSE,FALSE
"Blanus cinereus","Blanus cinereus",NA,"Iberian Worm Lizard","Blanidae","MCNB","WILD","U","Primary",NA,NA,NA,NA,NA,"A832",NA,NA,NA,"https://www.iucnredlist.org/species/204702171/137846946","LC","Reptiles",NA,"A832","I_A832",1,FALSE,FALSE
"Blanus cinereus","Blanus cinereus",NA,"Iberian Worm Lizard","Blanidae","MCNB","WILD","U","Primary",NA,NA,NA,NA,NA,"A831",NA,NA,NA,NA,"LC","Reptiles",NA,"A831","I_A831",1,FALSE,FALSE
"Blanus cinereus","Blanus cinereus",NA,"Iberian Worm Lizard","Blanidae","MCNB","WILD","U","Primary",NA,NA,NA,NA,NA,"A830",NA,NA,NA,NA,"LC","Reptiles",NA,"A830","I_A830",1,FALSE,FALSE
"Chalcides bedriagai","Chalcides bedriagai",NA,"Bedriaga's Skink","Scincidae","MCNB","WILD","U","Primary",NA,NA,NA,NA,NA,"A828",NA,NA,NA,"https://www.iucnredlist.org/species/61472/137847259","LC","Reptiles",NA,"A828","I_A828",1,FALSE,FALSE
