"scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","karyotype","sample_id","wgs","rna_seq","iucn","superclass","animal_id","individual_id","lines_per_individual","iPSC","status","cnag_id","species_short","link","dna","karyo","rna","seq","n_samples","date","animal_species","species_360_local_id","coming_from_clean"
"Xenopus tropicalis","Xenopus tropicalis",NA,"Tropical Clawed Frog","Pipidae",NA,"CAPTIVE","U","Fibro",NA,"Xen_Tro_1",NA,NA,"LC","Amphibia","A608","I_A608",1,FALSE,TRUE,NA,"Xen_Tro","https://www.iucnredlist.org/species/89256756/107607050",FALSE,FALSE,FALSE,FALSE,1,"5/11/2024","Xenopus tropicalis","QTR12-00743 / BARCELONA / 12098","Zoo Barcelona"
"Xenopus boumbaensis","Xenopus boumbaensis",NA,"Mawa Clawed Frog","Pipidae",NA,"CAPTIVE","U","Primary",NA,"Xen_Bou_1",NA,NA,"NT","Amphibia","A607","I_A607",1,FALSE,FALSE,NA,"Xen_Bou","https://www.iucnredlist.org/species/58171/177346384",FALSE,FALSE,FALSE,FALSE,1,"5/11/2024","Xenopus boumbaensis","QTR12-00743 / BARCELONA / 12098","Zoo Barcelona"
"Bufo spinosus","Bufo spinosus",NA,"Spiny Toad","Bufonidae","BC01019","WILD","U","Primary","WGS","Buf_Spi_1","ABA23953",NA,"LC","Amphibia","A644","I_A644",1,FALSE,FALSE,NA,"Buf_Spi","https://www.iucnredlist.org/species/88316046/89696452",FALSE,FALSE,FALSE,FALSE,1,"19/2/2025","Bufo spinosus","BC00764","Museu de Ciencies Naturlas Barcelona"
"Bufo spinosus","Bufo spinosus",NA,"Spiny Toad","Bufonidae","BC00980","WILD","U","Primary",NA,"Buf_Spi_2",NA,NA,"LC","Amphibia","A667","I_A667",1,FALSE,FALSE,NA,"Buf_Spi",NA,FALSE,FALSE,FALSE,FALSE,1,"17/3/2025","Bufo spinosus","BC00980","Museu de Ciencies Naturlas Barcelona"
"Rana pyrenaica","Rana pyrenaica",NA,"Pyrenean Frog","Ranidae",NA,"WILD","U","Primary",NA,"Ran_Pyr_1",NA,NA,"EN","Amphibia","A647","I_A647",1,FALSE,FALSE,NA,"Ran_Pyr","https://www.iucnredlist.org/species/19183/227233345",FALSE,FALSE,FALSE,FALSE,1,"20/2/2025","Rana pyrenaica","BC00764","Aquarium de Zaragoza"
"Xenopus muelleri","Xenopus muelleri",NA,"Müller's Clawed Toad","Pipidae",NA,"CAPTIVE","U","Primary",NA,"Xen_Mue_1",NA,NA,"LC","Amphibia","A654","I_A654",1,FALSE,FALSE,NA,"Xen_Mue","https://www.iucnredlist.org/species/107580991/107581762",FALSE,FALSE,FALSE,FALSE,1,"25/2/2025","Xenopus muelleri","25901715 / BARCELONA / 10484","Zoo Barcelona"
"Xenopus borealis","Xenopus borealis",NA,"Marsabit Clawed Frog","Pipidae",NA,"CAPTIVE","U","Primary",NA,"Xen_Bor_1",NA,NA,"LC","Amphibia","A655","I_A655",1,FALSE,FALSE,NA,"Xen_Bor","https://www.iucnredlist.org/species/58170/18397690",FALSE,FALSE,FALSE,FALSE,1,"3/3/2025","Xenopus borealis","25901715 / BARCELONA / 10484","Zoo Barcelona"
"Xenopus fischbergi","Xenopus fischbergi",NA,"Fischberg's Clawed Frog","Pipidae",NA,"CAPTIVE","U","Primary",NA,"Xen_Fis_1",NA,NA,"LC","Amphibia","A656","I_A656",1,FALSE,FALSE,NA,"Xen_Fis","https://www.iucnredlist.org/species/89257028/97016843",FALSE,FALSE,FALSE,FALSE,1,"27/2/2025","Xenopus fischbergi","25901715 / BARCELONA / 10484","Zoo Barcelona"
"Discoglossus pictus","Discoglossus pictus",NA,"Painted Frog","Alytidae","BC01032","WILD","U","Primary",NA,"Dis_Pic_1",NA,NA,"LC","Amphibia","A663","I_A663",1,FALSE,FALSE,NA,"Dis_Pic","https://www.iucnredlist.org/species/55270/89700379",FALSE,FALSE,FALSE,FALSE,1,"17/3/2025","Discoglossus pictus","BC01032","Museu de Ciencies Naturlas Barcelona"
"Discoglossus pictus","Discoglossus pictus",NA,"Painted Frog","Alytidae","BC01019","WILD","U","Primary",NA,"Dis_Pic_2",NA,NA,"LC","Amphibia","A664","I_A664",1,FALSE,FALSE,NA,"Dis_Pic",NA,FALSE,FALSE,TRUE,FALSE,1,"17/3/2025","Discoglossus pictus","BC01019","Museu de Ciencies Naturlas Barcelona"
"Epidalea calamita","Epidalea calamita",NA,"Natterjack Toad","Bufonidae","BC00809","WILD","U","Fibro",NA,"Epi_Cal_1",NA,NA,"LC","Amphibia","A666","I_A666",1,FALSE,TRUE,NA,"Epi_Cal",NA,TRUE,FALSE,TRUE,FALSE,1,"17/3/2025","Epidalea calamita","BC00809","Museu de Ciencies Naturlas Barcelona"
