"animal_ID","sample_id","species","superclass","DNA_ex","RNA_ex","pellet","CT_total","n_passages","reps","next_step"
"A301","Hys_Cri_1","Hystrix cristata","Mammalia",TRUE,FALSE,0,3,2,"biorep","thaw_line"
"A453","Hys_Cri_2","Hystrix cristata","Mammalia",TRUE,TRUE,1,4,2,"biorep","seq"
"A305","Cyn_Lud_1","Cynomys ludovicianus","Mammalia",FALSE,FALSE,0,3,2,"techrep1","thaw_line"
"A286","Ory_Cun_2","Oryctolagus cuniculus","Mammalia",FALSE,FALSE,0,3,2,"techrep1","thaw_line"
"A459","Not_Ruf_2","Notamacropus rufogriseus","Mammalia",TRUE,TRUE,1,2,1,"biorep","seq"
"A269","Not_Ruf_3","Notamacropus rufogriseus","Mammalia",FALSE,FALSE,0,3,2,"biorep","thaw_line"
"A291","Not_Ruf_4","Notamacropus rufogriseus","Mammalia",FALSE,FALSE,0,4,2,"biorep","thaw_line"
"A292","Not_Ruf_5","Notamacropus rufogriseus","Mammalia",FALSE,FALSE,0,2,2,"biorep","thaw_line"
"A390","Lem_Cat_3","Lemur catta","Mammalia",FALSE,FALSE,0,4,2,"techrep1","thaw_line"
"A170","Eul_Ful_1","Eulemur fulvus","Mammalia",FALSE,FALSE,0,1,1,"biorep","thaw_line"
"A265","Eul_Ful_2","Eulemur fulvus","Mammalia",FALSE,FALSE,0,4,2,"biorep","thaw_line"
"A81","Cal_Geo_1","Callithrix geoffroyi","Mammalia",TRUE,FALSE,1,6,5,"techrep1","from_cryo"
"A76","Sag_Imp_1","Saguinus imperator","Mammalia",TRUE,FALSE,1,4,2,"biorep","thaw_line"
"A77","Sag_Imp_2","Saguinus imperator","Mammalia",TRUE,FALSE,1,1,1,"biorep","thaw_line"
"A130","Sag_Imp_3","Saguinus imperator","Mammalia",FALSE,FALSE,0,4,4,"biorep","thaw_line"
"A90","Sag_Oed_1","Saguinus oedipus","Mammalia",TRUE,FALSE,0,4,3,"biorep","thaw_line"
"A350","Sag_Oed_2","Saguinus oedipus","Mammalia",FALSE,FALSE,0,2,1,"biorep","thaw_line"
"A347","Sag_Oed_3","Saguinus oedipus","Mammalia",TRUE,FALSE,0,3,1,"biorep","thaw_line"
"A400","Leo_Chr_1","Leontopithecus chrysomelas","Mammalia",TRUE,TRUE,1,5,2,"techrep1","seq"
"A394","Ceb_Pyg_1","Cebuella pygmaea","Mammalia",TRUE,FALSE,0,6,4,"biorep","from_cryo"
"A392","Ceb_Pyg_2","Cebuella pygmaea","Mammalia",TRUE,FALSE,1,5,3,"biorep","from_cryo"
"A434","Ceb_Pyg_3","Cebuella pygmaea","Mammalia",TRUE,FALSE,1,4,2,"biorep","thaw_line"
"A437","Ceb_Pyg_4","Cebuella pygmaea","Mammalia",TRUE,TRUE,1,4,2,"biorep","seq"
"A16","Pan_Tro_1","Pan troglodytes","Mammalia",TRUE,FALSE,1,3,2,"biorep","thaw_line"
"A189","Pan_Tro_2","Pan troglodytes","Mammalia",TRUE,FALSE,0,1,1,"biorep","thaw_line"
"A190","Pan_Tro_3","Pan troglodytes","Mammalia",TRUE,FALSE,0,2,1,"biorep","thaw_line"
"A191","Pan_Tro_4","Pan troglodytes","Mammalia",TRUE,FALSE,0,2,2,"biorep","thaw_line"
"A192","Pan_Tro_5","Pan troglodytes","Mammalia",TRUE,FALSE,0,2,2,"biorep","thaw_line"
"A226","Pan_Tro_6","Pan troglodytes","Mammalia",FALSE,FALSE,0,1,1,"biorep","thaw_line"
"A290","Pan_Tro_7","Pan troglodytes","Mammalia",TRUE,FALSE,0,4,3,"biorep","thaw_line"
"A322","Pan_Tro_8","Pan troglodytes","Mammalia",FALSE,TRUE,1,3,3,"biorep","seq"
"A11","Pan_Tro_9","Pan troglodytes","Mammalia",TRUE,FALSE,1,6,3,"biorep","from_cryo"
"A278","Gor_Gor_1","Gorilla gorilla","Mammalia",FALSE,FALSE,0,4,3,"techrep1","thaw_line"
"A73","Ate_Hyb_2","Ateles hybridus","Mammalia",TRUE,FALSE,1,2,2,"biorep","thaw_line"
"A5","Ate_Hyb_3","Ateles hybridus","Mammalia",FALSE,FALSE,0,NA,NA,"biorep","thaw_line"
"A186","Ate_Hyb_4","Ateles hybridus","Mammalia",TRUE,FALSE,0,2,2,"biorep","thaw_line"
"A187","Ate_Hyb_5","Ateles hybridus","Mammalia",FALSE,FALSE,0,NA,NA,"biorep","thaw_line"
"A282","Ate_Hyb_6","Ateles hybridus","Mammalia",FALSE,FALSE,0,2,2,"biorep","thaw_line"
"A327","Ate_Hyb_7","Ateles hybridus","Mammalia",TRUE,FALSE,0,2,1,"biorep","thaw_line"
"A318","Pon_Pyg_1","Pongo pygmaeus","Mammalia",TRUE,FALSE,0,9,3,"biorep","from_cryo"
"A157","Pon_Pyg_2","Pongo pygmaeus","Mammalia",TRUE,FALSE,0,1,1,"biorep","thaw_line"
"A461","Pon_Pyg_3","Pongo pygmaeus","Mammalia",TRUE,TRUE,0,4,2,"biorep","seq"
"A92","Cer_Aty_2","Cercocebus atys","Mammalia",TRUE,FALSE,3,4,3,"biorep","thaw_line"
"A102","Cer_Aty_3","Cercocebus atys","Mammalia",TRUE,FALSE,2,4,4,"biorep","thaw_line"
"A369","Cer_Aty_5","Cercocebus atys","Mammalia",FALSE,FALSE,0,4,2,"biorep","thaw_line"
"A183","Cer_Tor_1","Cercocebus torquatus","Mammalia",FALSE,FALSE,0,5,4,"biorep","from_cryo"
"A287","Cer_Tor_2","Cercocebus torquatus","Mammalia",FALSE,FALSE,0,4,2,"biorep","thaw_line"
"A163","Man_Sph_1","Mandrillus sphinx","Mammalia",FALSE,FALSE,0,3,2,"biorep","thaw_line"
"A339","Man_Sph_2","Mandrillus sphinx","Mammalia",FALSE,FALSE,0,3,1,"biorep","thaw_line"
"A360","Man_Leu_1","Mandrillus leucophaeus","Mammalia",FALSE,FALSE,0,3,2,"biorep","thaw_line"
"A359","Man_Leu_2","Mandrillus leucophaeus","Mammalia",FALSE,FALSE,0,2,1,"biorep","thaw_line"
"A381","Man_Leu_3","Mandrillus leucophaeus","Mammalia",TRUE,FALSE,0,4,1,"biorep","thaw_line"
"A272","Mio_Ogo_2","Miopithecus ogouensis","Mammalia",TRUE,FALSE,0,3,2,"techrep1","thaw_line"
