"taxon_id","scientific_name","common_name","alternative_name","genus","subfamily","family","order","class","iucn_category","genome","annotation","zoonomia","samples","sex","cell_line","i_psc","sample","assembly_level","scaffold_n50","contig_n50","gene_count","assembly_date","busco_completeness","genome_size","haploid_number","ploidy","sequencing_status","Annotation.Release","Ensembl.Assembly","Accession"
"452597","Aonyx cinereus","Asian Small-clawed Otter,[""Asian small-clawed otter""]",NA,"Aonyx",NA,"Mustelidae","Carnivora","Mammalia","VULNERABLE",TRUE,TRUE,TRUE,1,"M","No cell line",NA,"Tissue",NA,NA,NA,NA,"2023-04-03",NA,2880210000,19,2,NA,NA,NA,NA
"9612","Canis lupus","Iberian Wolf,[""Timber wolf""]",NA,"Canis",NA,"Canidae","Carnivora","Mammalia","LEAST CONCERN",TRUE,FALSE,FALSE,4,"M/F/F/F","Fibro",NA,"Tissue/Blood","Chromosome",65778685,34375412,NA,"2023-04-03",95.5,2748180000,39,2,"insdc_open",NA,NA,NA
"9678","Crocuta crocuta","Spotted hyena,[""spotted hyena""]",NA,"Crocuta",NA,"Hyaenidae","Carnivora","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,"M","Fibro",NA,"Tissue","Scaffold",7236831,97873,19698,"2019-10-07",93.5,2738400000,20,2,"insdc_open",NA,NA,NA
"32538","Leopardus pardalis","Ocelot,[""ocelot""]",NA,"Leopardus","Felinae","Felidae","Carnivora","Mammalia","LEAST CONCERN",TRUE,FALSE,FALSE,1,"F","Fibro",NA,NA,NA,NA,NA,NA,"2023-04-03",NA,2963340000,18,2,NA,NA,NA,NA
"9657","Lutra lutra","Eurasian otter,[""Otter""]",NA,"Lutra","Lutrinae","Mustelidae","Carnivora","Mammalia","NEAR THREATENED",TRUE,TRUE,TRUE,2,"M/F","Fibro",NA,"tissue","Chromosome",149004807,30403456,32271,"2020-07-31",94.9,2880210000,19,2,"insdc_open","GCF_902655055.1-RS_2023_03",NA,NA
"210652","Mungos mungo","Banded Mongoose,[""banded mongoose""]",NA,"Mungos",NA,"Herpestidae","Carnivora","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,"-","Fibro",NA,"Tissue","Scaffold",236501,180702,NA,"2019-01-15",NA,2738400000,18,2,"published",NA,NA,NA
"9666","Mustela lutreola","European mink,[""European mink""]",NA,"Mustela",NA,"Mustelidae","Carnivora","Mammalia","CRITICALLY ENDANGERED",TRUE,FALSE,FALSE,1,"F","Fibro",NA,"Tissue","Chromosome",154078643,83356672,NA,"2023-07-13",NA,2880210000,19,2,"insdc_open",NA,NA,NA
"161932","Otaria byronia","South American Sea Lion,[""South American sea lion""]",NA,"Otaria",NA,"Otariidae","Carnivora","Mammalia","LEAST CONCERN",TRUE,FALSE,FALSE,3,"F/F/F","Fibro",NA,"Tissue","Scaffold",144693000,NA,NA,"2023-04-03",NA,3080700000,18,2,"open",NA,NA,NA
"9689","Panthera leo","Lion,[""African lion""]",NA,"Panthera","Pantherinae","Felidae","Carnivora","Mammalia","VULNERABLE",TRUE,TRUE,TRUE,9,"F/M/F/F/F/F/F","Fibro",NA,"blood","Chromosome",147402474,77781637,32109,"2021-05-13",NA,2885100000,19,2,"insdc_open","100.0","PanLeo1.0","GCA_008795835.1"
"9690","Panthera onca","Jaguar,[""jaguar""]",NA,"Panthera","Pantherinae","Felidae","Carnivora","Mammalia","NEAR THREATENED",TRUE,TRUE,TRUE,4,"F/F","Fibro",NA,"Tissue","Chromosome",132627732,51083,NA,"2023-02-09",NA,2767740000,19,2,"published",NA,NA,NA
