"scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","karyotype","sample_id","animal_ID","line2","line3","cnag_id","iucn","superclass","status","iPSC","species_short","link","dna","karyo","rna","seq"
"Kobus leche","Kobus leche",NA,"Kobus leche","Bovidae","-",NA,NA,"PBMc",NA,"Kob_Lec_1","A136",NA,NA,NA,"NT","Mammalia",TRUE,FALSE,"Kob_Lec","https://www.iucnredlist.org/species/11033/50189021",FALSE,FALSE,FALSE,FALSE
"Bison bonasus","Bison bonasus",NA,"Bison","Bovidae","27918709/MADRID Z / BE19","CAPTIVE","F","Fibro","Bison bonasus A172","Bis_Bon_1","A172",NA,NA,NA,"NT","Mammalia",TRUE,FALSE,"Bis_Bon","https://www.iucnredlist.org/species/2814/45156279",FALSE,TRUE,FALSE,FALSE
"Bison bonasus","Bison bonasus",NA,"Bison","Bovidae","2.6854224E7","CAPTIVE","F","Fibro",NA,"Bis_Bon_2","A307",NA,NA,NA,"NT","Mammalia",TRUE,FALSE,"Bis_Bon","https://animaldiversity.org/accounts/Bison_bonasus/",TRUE,FALSE,FALSE,FALSE
"Bison bonasus","Bison bonasus",NA,"Bison","Bovidae","-",NA,NA,"PBMc",NA,"Bis_Bon_3","A137",NA,NA,NA,"NT","Mammalia",TRUE,FALSE,"Bis_Bon","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=0&id=9902",FALSE,FALSE,FALSE,FALSE
"Bison bison","Bison bison",NA,"American bison","Bovidae","27917966/MADRID Z / BA12","CAPTIVE","F","Primary",NA,"Bis_Bis_1","A497",NA,NA,NA,"NT","Mammalia",FALSE,FALSE,"Bis_Bis","https://www.iucnredlist.org/species/2815/123789863",FALSE,FALSE,FALSE,FALSE
"Bison bison","Bison bison",NA,"American bison","Bovidae","MIG12-29480582/MADRID Z / BA13","CAPTIVE","M","Primary",NA,"Bis_Bis_2","A498",NA,NA,NA,"NT","Mammalia",FALSE,FALSE,"Bis_Bis",NA,FALSE,FALSE,FALSE,FALSE
"Bison bison","Bison bison",NA,"American bison","Bovidae","27921795/: MADRID Z / BA11","CAPTIVE","M","Fibro",NA,"Bis_Bis_3","A507",NA,NA,NA,"NT","Mammalia",TRUE,FALSE,"Bis_Bis",NA,TRUE,FALSE,FALSE,FALSE
"Tragelaphus eurycerus","Tragelaphus eurycerus",NA,"Bongo","Bovidae","MIG12-28671173/BARCELONA / 11159","CAPTIVE","M","Fibro",NA,"Tra_Eur_1","A427",NA,NA,NA,"NT","Mammalia",TRUE,FALSE,"Tra_Eur","https://animaldiversity.org/accounts/Tragelaphus_eurycerus/",TRUE,FALSE,FALSE,FALSE
"Tragelaphus eurycerus","Tragelaphus eurycerus",NA,"Bongo","Bovidae","QGH19-05305/BARCELONA / 13622","CAPTIVE","F","Primary",NA,"Tra_Eur_2","A146",NA,NA,NA,"NT","Mammalia",FALSE,FALSE,"Tra_Eur",NA,FALSE,FALSE,FALSE,FALSE
"Ammotragus lervia fassini","Ammotragus lervia","fassini","Barbary Sheep","Bovidae","QGH20-05470-IA","-","M","Fibro",NA,"Amm_Ler_1","A45",NA,NA,NA,"VU","Mammalia",TRUE,FALSE,"Amm_Ler","https://www.iucnredlist.org/species/1151/3288917",TRUE,FALSE,FALSE,FALSE
