"x1","scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","line1","line2","line3","cell_barcode","cnag_id","x13","iucn","superclass","data","status","iPSC"
"19.0","Lampropeltis triangulum sinaloae","Lampropeltis triangulum","sinaloae","Sinaloan milksnake","Colubridae","17967337/BARCELONA / 8241","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A363","A363",NA,NA,NA,NA,"https://www.iucnredlist.org/species/197493/2490171","LC","Reptiles",NA,FALSE,FALSE
"20.0","Acrantophis dumerili","Acrantophis dumerili",NA,"Dumeril's ground boa","Boidae","QGH13-01358/BARCELONA / 12003","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A518","A518",NA,NA,NA,NA,"https://www.iucnredlist.org/species/282/13054798","LC","Reptiles",NA,FALSE,FALSE
"21.0","Corucia zebrata","Corucia zebrata",NA,"Prehensile-tailed skink","Scincidae","QGH20-05473/BARCELONA / 13766","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A370","A370",NA,NA,NA,NA,"https://www.iucnredlist.org/species/196593/2463961","NT","Reptiles",NA,FALSE,FALSE
"22.0","Paleosuchus palpebrosus","Paleosuchus palpebrosus",NA,"Dwarf caiman","Alligatoridae","MIG12-29661824/BARCELONA / 11356","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A264","A264",NA,NA,NA,NA,"https://www.iucnredlist.org/species/46587/3009946","LC","Reptiles",NA,FALSE,FALSE
"23.0","Crocodylus rhombifer","Crocodylus rhombifer",NA,"Cuban Crocodile","Crocodylidae","MIG12-29661824/ BARCELONA / 5277","UNKNOWN","F","Fibro","DNA",NA,NA,NA,NA,"A361","A361",NA,NA,"*A361*",NA,NA,"CR","Reptiles",NA,TRUE,FALSE
"24.0","Osteolaemus tetraspis","Osteolaemus tetraspis",NA,"Dwarf crocodile","Crocodylidae","17965110/BARCELONA / 595","WILD","F","Fibro","DNA",NA,NA,NA,NA,"A428","A428",NA,NA,"*A428*",NA,"https://www.iucnredlist.org/species/15635/4931429","VU","Reptiles",NA,TRUE,FALSE
"1.0","Scissirostrum dubium","Scissirostrum dubium",NA,"Grosbeak Starling","Sturnidae","QGH16-04022","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A22","A22",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22711001/132091764",FALSE,FALSE
"1.0","Scissirostrum dubium","Scissirostrum dubium",NA,"Grosbeak Starling","Sturnidae","enbryo's wings","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A303","A303",NA,NA,NA,NA,NA,"LC","Birds","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi",FALSE,FALSE
"1.0","Scissirostrum dubium","Scissirostrum dubium",NA,"Grosbeak Starling","Sturnidae","QGH20-05382","CAPTIVE","F","Fibro","DNA",NA,NA,NA,NA,"A312","A312",NA,NA,"*A312*",NA,NA,"LC","Birds","https://www.gbif.org/species/2489124",TRUE,FALSE
"2.0","Ficedula hypoleuca","Ficedula hypoleuca",NA,"European pied flycatcher","Muscicapidae","QGH20-05449-IA",NA,NA,"Primary",NA,NA,NA,NA,NA,"A38","A38",NA,NA,NA,NA,NA,"LC","Birds","https://www.gbif.org/search?q=Ficedula%20Hypoleuca",FALSE,FALSE
"3.0","Lamprotornis superbus","Lamprotornis superbus",NA,"Superb Starling","Sturnidae","MIG12-28643043",NA,NA,"Primary",NA,NA,NA,NA,NA,"A39","A39",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22710767/119270077",FALSE,FALSE
"4.0","Hirundo rustica","Hirundo rustica",NA,"Barb Swallow","Hirundinidae","CRAS 60/21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A117","A117",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22712252/137668645",FALSE,FALSE
"5.0","Chloris chloris","Chloris chloris",NA,"European Greenfinch","Fringillidae","CRAS 75/21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A122","A122",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22720330/132000123",FALSE,FALSE
"6.0","Delichon urbicum","Delichon urbicum",NA,"Northern House Martin","Hirundinidae","CRAS 111/21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A135","A135",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/103811886/118748864",FALSE,FALSE
"7.0","Carduelis carduelis","Carduelis carduelis",NA,"European Goldfinch","Fringillidae","SN1",NA,NA,"Primary",NA,NA,NA,NA,NA,"A134","A134",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/103764950/152615959",FALSE,FALSE
"8.0","Lanius senator","Lanius senator",NA,"Woodchat Shrike","Laniidae","CRAS 28/22",NA,NA,"Primary",NA,NA,NA,NA,NA,"A293","A293",NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"9.0","Cyanocorax yncas","Cyanocorax yncas",NA,"Green jay","Corvidae","MIG12-29349059/BARCELONA / 11008","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A508","A508",NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
