"taxon_id","scientific_name","species","order","class","superclass","iucn_category","genome","annotation","zoonomia","individuals","cell_lines","fibro","pbmc","ipsc","tissue_of_origin","genome_match","species_genome","assembly_level","scaffold_n50","contig_n50","gene_count","assembly_date","busco_completeness","genome_size","haploid_number","ploidy","sequencing_status","Annotation.Release","Ensembl.Assembly","Accession","common_name","alternative_name","subspecies","genus","subfamily","family"
"9704","Zalophus californianus","Zalophus californianus","Carnivora","Mammalia","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,2,1,1,0,0,"Tissue","species","Zalophus californianus","Chromosome",147124152,32626160,32543,"2020-07-14",NA,3080700000,18,2,"published","101.0","mZalCal1.pri","GCA_009762305.1","California sea lion","Zalophus californianos",NA,"Zalophus",NA,"Otariidae"
"9666","Mustela lutreola novikovi","Mustela lutreola","Carnivora","Mammalia","Mammalia","CRITICALLY ENDANGERED",TRUE,FALSE,FALSE,1,1,1,0,0,"Tissue","species","Mustela lutreola","Chromosome",154078643,83356672,NA,"2023-07-13",NA,2880210000,19,2,"insdc_open",NA,NA,NA,"European mink",NA,"novikovi","Mustela",NA,"Mustelidae"
"9694","Panthera tigris","Panthera tigris","Carnivora","Mammalia","Mammalia","ENDANGERED",TRUE,TRUE,TRUE,2,2,2,0,0,"Tissue (ovary/skin)","species","Panthera tigris","Chromosome",146942463,74391967,33598,"2021-05-13",NA,2650380000,19,2,"insdc_open","102.0",NA,NA,"Tiger",NA,NA,"Panthera",NA,"Felidae"
"9672","Pteronura brasiliensis","Pteronura brasiliensis","Carnivora","Mammalia","Mammalia","ENDANGERED",TRUE,TRUE,TRUE,1,1,1,0,0,"Tissue (uter/skin)","species","Pteronura brasiliensis","Scaffold",119023,90879,NA,"2019-01-15",82.7,2880210000,19,2,"published",NA,NA,NA,"Giant otter,giant otter",NA,NA,"Pteronura",NA,"Mustelidae"
"8790","Dromaius novaehollandiae","Dromaius novaehollandiae","Casuariiformes","Aves","Birds","LEAST CONCERN",TRUE,TRUE,FALSE,1,0,0,0,0,"Tissue","species","Dromaius novaehollandiae","Scaffold",3305683,172131,18898,"2018-07-26",96.8,1555020000,40,2,"insdc_open","100.0","droNov1","GCA_003342905.1","Common Emu,Emu",NA,NA,"Dromaius",NA,"Dromaiidae"
"8296","Ambystoma mexicanum","Ambystoma mexicanum","Caudata","Amphibia","Amphibia","CRITICALLY ENDANGERED",TRUE,FALSE,FALSE,1,0,0,0,0,"Tissue","species","Ambystoma mexicanum","Chromosome",1205706733,217996,NA,"2021-04-01",NA,34719000000,14,3,"insdc_open",NA,NA,NA,"Axolotl,Mexican axolotl",NA,NA,"Ambystoma",NA,"Ambystomatidae"
"8319","Pleurodeles waltl","Pleurodeles waltl","Caudata","Amphibia","Amphibia","NEAR THREATENED",TRUE,TRUE,FALSE,2,1,1,0,0,"larvae/Trachea","species","Pleurodeles waltl","Chromosome",1237754594,45590032,13359,"2022-12-05",NA,20929200000,12,3,"insdc_open",NA,NA,NA,"Sharp-ribbed Salamander,Spanish ribbed newt",NA,NA,"Pleurodeles",NA,"Salamandridae"
"9739","Tursiops truncatus","Tursiops truncatus","Artiodactyla","Mammalia","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,1,1,0,0,"Tissue","species","Tursiops truncatus","Chromosome",108430135,9729386,28904,"2020-03-27",89,3080700000,22,2,"insdc_open","102.0","turTru1","-","Bottlenose dolphin",NA,NA,"Tursiops",NA,"Delphinidae"
"9749","Delphinapterus leucas","Delphinapterus leucas","Artiodactyla","Mammalia","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,1,1,0,0,"Tissue","species","Delphinapterus leucas","Scaffold",31183418,196689,27561,"2019-08-29",90.7,3217620000,22,2,"insdc_open","101.0","ASM228892v3","GCA_002288925.3","Beluga Whale,Beluga",NA,NA,"Delphinapterus",NA,"Monodontidae"
"9773","Megaptera novaeangliae","Megaptera novaeangliae","Artiodactyla","Mammalia","Mammalia","LEAST CONCERN",TRUE,TRUE,TRUE,1,1,1,0,0,"Tissue","species","Megaptera novaeangliae","Scaffold",9138802,12321,NA,"2019-03-06",NA,2865540000,22,2,"insdc_open",NA,NA,NA,"Humpback Whale,Humpback whale",NA,NA,"Megaptera",NA,"Balaenopteridae"
"9728","Delphinus delphis","Delphinus delphis","Artiodactyla","Mammalia","Mammalia","LEAST CONCERN",TRUE,FALSE,FALSE,1,0,0,0,0,"Tissue","species","Delphinus delphis","Chromosome",108933991,54231611,NA,"2023-05-24",NA,3080700000,22,2,"insdc_open",NA,NA,NA,"Common Dolphin,Common dolphin",NA,NA,"Delphinus",NA,"Delphinidae"
